"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"11508","Amazing Luxurious Apt-Palermo Soho",42762,"Candela",NA,"Palermo",-34.58184,-58.42415,"Entire home/apt",21143,3,33,2022-12-19,0.26,1,309,6,NA
"14222","RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",87710233,"María",NA,"Palermo",-34.58617,-58.41036,"Entire home/apt",5728,7,102,2022-12-05,0.8,4,305,11,NA
"317484","Single Room in Palermo Soho",1621752,"Luba",NA,"Palermo",-34.58992,-58.42236,"Private room",3348,2,160,2022-12-10,1.22,4,349,5,NA
"15074","ROOM WITH RIVER SIGHT",59338,"Monica",NA,"Nuñez",-34.53892,-58.46599,"Private room",5286,29,0,NA,NA,1,365,0,NA
"118070","Amazing view - GREAT Studio - Balcony",530261,"Luciano",NA,"Palermo",-34.58311,-58.42767,"Entire home/apt",10572,14,49,2022-07-22,0.36,27,349,4,NA
"317486","Single Suite in Palermo Soho",1621752,"Luba",NA,"Palermo",-34.59077,-58.42133,"Private room",3348,2,195,2022-11-27,1.48,4,355,30,NA
"16695","DUPLEX LOFT 2 - SAN TELMO",64880,"Elbio Mariano",NA,"Monserrat",-34.61439,-58.37611,"Entire home/apt",8810,2,46,2019-11-30,0.32,9,272,0,NA
"317509","Comfortable house in Buenos Aires",1624246,"Sandra",NA,"Villa Urquiza",-34.57943,-58.48487,"Private room",7929,1,3,2014-01-01,0.03,2,364,0,NA
"17993","TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO",68689,"Maritza",NA,"San Nicolas",-34.6037,-58.37888,"Private room",5991,3,8,2022-03-12,0.06,1,54,1,NA
"118877","Entire Studio/apt in Buenos Aires",600320,"Roxana",NA,"Palermo",-34.57734,-58.4379,"Entire home/apt",12585,2,32,2022-11-21,0.23,2,277,13,NA
"317759","Studio privado, en el centro.",1569462,"Eleonora",NA,"Balvanera",-34.60989,-58.40239,"Entire home/apt",4122,5,73,2022-12-01,0.6,3,328,5,NA
"120874","Great apt 1 Bedroom - 1.5 Bath /Recoleta",530261,"Luciano",NA,"Recoleta",-34.58991,-58.39931,"Entire home/apt",8810,7,10,2022-04-27,0.07,27,353,1,NA
"122907","Spotless entire apt. Ideal location",426566,"Egle",NA,"Almagro",-34.61982,-58.4166,"Entire home/apt",4872,5,31,2022-12-03,0.22,8,327,9,NA
"20062","PENTHOUSE / best city views ! /terrace & pool/ 2bd",75891,"Sergio",NA,"Palermo",-34.581848,-58.441605,"Entire home/apt",27814,2,274,2022-12-21,1.78,4,95,39,NA
"322509","Sunny Studio in Palermo Hollywood",1333525,"Mar",NA,"Palermo",-34.57807,-58.43564,"Entire home/apt",8651,3,134,2022-07-24,1.01,4,0,2,NA
"20429","Hermoso  y acogedor departamento.",77065,"Marcelo",NA,"Constitucion",-34.6226,-58.38704,"Entire home/apt",6167,15,0,NA,NA,1,62,0,NA
"23798","STUNNING-LIGHT-SPACIOUS LOFT STYLE APT- SAN TELMO",408551,"Guille",NA,"Monserrat",-34.61266,-58.37479,"Entire home/apt",11047,3,56,2022-12-14,0.43,14,166,8,NA
"129932","Palermo View Studio at Palermo Uno Tower",319901,"Ralf Dietmar",NA,"Palermo",-34.5813,-58.42488,"Entire home/apt",15669,4,125,2022-11-13,0.9,24,328,10,NA
"323488","Cozy new studio in the heart of Palermo",1655817,"Silvia",NA,"Palermo",-34.5872,-58.42973,"Entire home/apt",10572,2,49,2022-11-14,0.43,1,332,8,NA
"130248","Small charmy and fully at Palermo",641573,"Paula",NA,"Palermo",-34.57717,-58.41138,"Entire home/apt",4052,2,104,2022-12-22,0.87,8,314,24,NA
"130275","Van Gogh s apart at Palermo",641573,"Paula",NA,"Palermo",-34.5771,-58.41134,"Entire home/apt",3223,2,16,2022-02-17,0.14,8,1,1,NA
"130424","Palermo Hollywood Studio Apt - 4th floor - 33 m2",642182,"Aike",NA,"Palermo",-34.57896,-58.43448,"Entire home/apt",8810,7,9,2012-12-31,0.07,1,173,0,NA
"24713","BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",100743,"Griselda",NA,"San Nicolas",-34.60254,-58.37811,"Entire home/apt",7349,2,371,2022-11-28,3.12,5,352,28,NA
"323708","Twin Room In Palermo Soho",1621752,"Luba",NA,"Palermo",-34.59082,-58.42145,"Private room",6167,2,14,2022-09-19,0.12,4,354,7,NA
"24763","Amazing LOFTpalermo: contemporary and cool",101049,"Sebastian",NA,"Chacarita",-34.58494,-58.44419,"Entire home/apt",11805,7,37,2022-12-14,0.26,1,87,5,NA
"325631","Central to Everything between palermo and Recoleta",576398,"Florencia",NA,"Recoleta",-34.59255,-58.4106,"Entire home/apt",9715,2,349,2022-01-28,2.64,2,170,1,NA
"27631","Apartment for rent in Recoleta",119446,"Inés",NA,"Recoleta",-34.59272,-58.3894,"Entire home/apt",8810,2,104,2022-11-18,0.69,1,332,6,NA
"28244","Loft in Palermo Hollywood.Pool 617",119613,"Marcos",NA,"Palermo",-34.57709,-58.43665,"Entire home/apt",12334,14,31,2022-11-08,0.29,8,21,7,NA
"131145","DONDE VIVI (1) Rooms for Rent .",645495,"Viviana",NA,"Almagro",-34.60728,-58.41949,"Private room",2700,3,39,2022-04-19,0.28,1,331,1,NA
"327888","::Private Terrace-Big bright studio-Top Location::",1675731,"Alejandra",NA,"San Telmo",-34.61963,-58.37212,"Entire home/apt",16863,3,297,2022-11-15,2.45,1,124,30,NA
"132298","Urban Escape ★ Studio with great views",319901,"Ralf Dietmar",NA,"Recoleta",-34.59495,-58.4044,"Entire home/apt",12270,5,121,2022-11-03,0.88,24,332,7,NA
"133043","Great Studio - Roof top Pool",530261,"Luciano",NA,"Recoleta",-34.59234,-58.39956,"Entire home/apt",10064,14,21,2022-10-30,0.2,27,365,4,NA
"31216","EXCELLENT APARTMENT IN BELGRANO",134014,"Marian",NA,"Belgrano",-34.55948,-58.44528,"Entire home/apt",13919,7,7,2022-12-04,0.81,2,211,7,NA
"330083","Habitación en Palermo Soho Tango.",1685810,"Maria",NA,"Palermo",-34.5907,-58.42349,"Private room",3171,4,154,2022-12-24,1.17,4,333,29,NA
"31469","Beautiful Home w/ Garden at Racetrack of Palermo",135120,"Flor",NA,"Palermo",-34.5682,-58.43402,"Entire home/apt",1762,3,15,2022-10-12,0.15,3,332,4,NA
"31514","BEAUTY DUPLEX LOFT #4 SAN TELMO",64880,"Elbio Mariano",NA,"Monserrat",-34.61494,-58.37517,"Entire home/apt",8810,2,32,2022-11-29,0.22,9,346,4,NA
"31920","Beautifull apartment in Belgrano!",137373,"Nancy",NA,"Belgrano",-34.5644,-58.4606,"Entire home/apt",10572,30,0,NA,NA,1,365,0,NA
"133654","Modern and Comfortable. Central location.Fast WiFi",426566,"Egle",NA,"Almagro",-34.62053,-58.41653,"Entire home/apt",4872,7,65,2022-12-14,0.46,8,320,17,NA
"136986","Buena Vista - Panorama Riverviews ★★★★★",319901,"Ralf Dietmar",NA,"Palermo",-34.58114,-58.42513,"Entire home/apt",20514,3,162,2022-12-18,1.17,24,281,23,NA
"137017","Soho Sunset studio  with amazing views.",319901,"Ralf Dietmar",NA,"Palermo",-34.58277,-58.42539,"Entire home/apt",20375,4,222,2022-12-02,1.62,24,254,26,NA
"331371","Bright loft, Palermo/Villa Crespo",1689718,"Francesca",NA,"Villa Crespo",-34.59321,-58.44315,"Entire home/apt",4757,6,36,2022-12-11,0.27,1,166,13,NA
"35703","Charming studio in Palermo/Recoleta",150763,"Viviana",NA,"Recoleta",-34.59188,-58.40778,"Entire home/apt",7048,7,90,2021-12-02,0.63,1,244,0,NA
"333282","Lovely Double Bedroom. Private WC",1698050,"Laura",NA,"San Nicolas",-34.59927,-58.37867,"Private room",7048,2,34,2022-11-20,0.26,1,331,12,NA
"37347","Palermo/Las Cañitas Apartment",161327,"Mariano",NA,"Palermo",-34.57148,-58.43246,"Entire home/apt",7929,12,60,2022-12-19,0.42,14,331,12,NA
"41608","Palermo Soho Spectacular Modern Unit",181721,"Silveria",NA,"Palermo",-34.5847,-58.42648,"Entire home/apt",13242,2,141,2022-11-20,1.01,2,339,15,NA
"42450","French Classic in San Telmo: Balcony over Defensa!",185437,"Grisel",NA,"Monserrat",-34.61578,-58.37175,"Entire home/apt",13743,4,148,2022-09-19,1.08,3,181,12,NA
"138690","STUDIO RECOLETA /PZA FRANCIA/UBA/MUSEOS/METRO",676972,"Fabiana",NA,"Recoleta",-34.59101,-58.39455,"Entire home/apt",6695,2,257,2022-12-13,1.84,16,179,20,NA
"143173","HabitacionPrivate Rooms in Congreso",499278,"Nicolas",NA,"Balvanera",-34.60929,-58.4031,"Private room",5286,5,0,NA,NA,1,365,0,NA
"333497","Room close to everything",1699029,"Juan Manuel",NA,"Balvanera",-34.60847,-58.396,"Private room",10572,2,0,NA,NA,1,365,0,NA
"143663","Apartement Buenos Aires",696693,"Marcela",NA,"Monserrat",-34.61428,-58.3865,"Entire home/apt",7929,5,0,NA,NA,1,358,0,NA
"45498","Quiet & Chic, fully equipped, 2Bd, pool & terrace",75891,"Sergio",NA,"Palermo",-34.58182,-58.44144,"Entire home/apt",28066,2,145,2022-12-03,0.97,4,157,26,NA
"337896","Spacious House in Palermo Viejo",1716990,"Ramsey",NA,"Villa Crespo",-34.59277,-58.43361,"Private room",2995,6,12,2022-11-26,0.09,1,242,4,NA
"48089","Recoleta Classic French-Style 2BDR",192475,"Chris",NA,"Recoleta",-34.58705,-58.38791,"Entire home/apt",8810,7,103,2022-01-27,0.69,1,318,1,NA
"144827","LEMON TREE ★ 1 bedroom with great views",319901,"Ralf Dietmar",NA,"Recoleta",-34.59491,-58.40497,"Entire home/apt",11604,4,51,2022-06-02,0.38,24,261,5,NA
"338066","2 BEDROOMS Comfort Quality Price",1717334,"Paola",NA,"Coghlan",-34.56329,-58.47625,"Entire home/apt",8709,2,93,2022-11-30,0.71,1,316,20,NA
"148284","Sunny Terrace Apart. in Downtown BA",407702,"Ruy",NA,"Monserrat",-34.61331,-58.38491,"Entire home/apt",5814,2,273,2022-09-29,1.95,2,150,5,NA
"48535","Elegant apartment in downtown Bs.As",221044,"Florencia",NA,"Retiro",-34.5962,-58.37529,"Entire home/apt",8810,90,0,NA,NA,1,364,0,NA
"50778","Gorgeous 2bdrm in Awesome Recoleta",233651,"Cameron",NA,"Recoleta",-34.58978,-58.40011,"Entire home/apt",10572,5,97,2022-05-24,0.66,6,119,1,NA
"338631","AltoPalermo renovated 1bdr apartmen",1714257,"Martin",NA,"Recoleta",-34.59054,-58.40984,"Entire home/apt",6544,7,173,2022-12-04,1.32,5,303,7,NA
"150594","Departamento Parque chacabuco",716702,"Eugenia",NA,"Parque Chacabuco",-34.63439,-58.44441,"Private room",25455,7,0,NA,NA,1,365,0,NA
"338678","Nice renovated Studio with balcony in Recoleta",50665721,"Shan",NA,"Recoleta",-34.58844,-58.4026,"Entire home/apt",6734,7,149,2022-07-30,1.13,11,356,3,NA
"52511","San Telmo Apartment (Buenos Aires)",242939,"Gri",NA,"San Nicolas",-34.60767,-58.37257,"Entire home/apt",12334,4,0,NA,NA,1,365,0,NA
"338752","Apartamento de 1 cuarto cerca de Plaza San Martín",50665721,"Shan",NA,"Retiro",-34.59737,-58.37387,"Entire home/apt",4280,7,116,2022-11-17,0.89,11,221,8,NA
"154427","Spotless apt. in a Great location. 100% Equipped.",426566,"Egle",NA,"Almagro",-34.62053,-58.41653,"Entire home/apt",4872,5,75,2022-12-11,0.55,8,80,16,NA
"339933","Cute Room in Palermo/ a bargain!!",419383,"Mariana Y Sebas",NA,"Palermo",-34.57545,-58.40785,"Private room",4405,1,152,2020-03-09,1.15,8,331,0,NA
"154430","Loft Style, modern,bright &spacious",742738,"Martin",NA,"Palermo",-34.59387,-58.41445,"Entire home/apt",3171,30,2,2021-06-01,0.01,1,300,0,NA
"154548","Central to Everything",576398,"Florencia",NA,"Recoleta",-34.59575,-58.40686,"Entire home/apt",9867,2,428,2022-11-28,3.2,2,87,6,NA
"53097","Duplex-Loft in  Historic Quartier of Buenos Aires",64880,"Elbio Mariano",NA,"Monserrat",-34.61494,-58.37517,"Entire home/apt",NA,2,37,2022-07-05,0.25,9,347,1,NA
"340938","Hermoso departamento en Caminito",1729925,"Luciana",NA,"Boca",-34.63958,-58.36423,"Private room",17619,1,0,NA,NA,1,365,0,NA
"53905","Trendy studio in Villa Crespo!",252182,"Victoria",NA,"Villa Crespo",-34.59969,-58.4399,"Entire home/apt",5286,3,90,2022-11-02,0.61,1,243,11,NA
